location,datetime_UTC,temp_C,feelslike_C,humidity_%,wind_speed_kph,wind_dir_deg,pressure_hPa
Everest ABC Camp,00:00:00,7.1,6.0,57.2,6.5,104.0,1003.8
Everest ABC Camp,01:00:00,-1.7,-1.7,84.93,1.1,191.5,1021.0
Everest ABC Camp,02:00:00,-2.3,-2.3,86.8,0.4,246.5,1021.0
Everest ABC Camp,03:00:00,4.2,1.6,80.82,10.1,160.0,1003.1
Everest ABC Camp,04:00:00,-2.7,-2.7,92.82,2.5,210.2,1019.0
Everest ABC Camp,05:00:00,-2.9,-2.9,93.51,1.1,247.7,1020.0
Everest ABC Camp,06:00:00,2.1,-0.9,86.61,10.1,302.0,1007.4
Everest ABC Camp,07:00:00,-2.8,-2.8,87.4,1.4,0.9,1021.0
Everest ABC Camp,08:00:00,-0.5,-0.5,58.24,0.4,219.1,1021.0
Everest ABC Camp,09:00:00,4.7,2.8,72.61,7.9,294.0,1010.3
Everest ABC Camp,10:00:00,-0.5,-0.5,64.86,3.2,171.7,1020.0
Everest ABC Camp,11:00:00,0.7,0.7,62.72,4.7,194.0,1020.0
Everest ABC Camp,12:00:00,8.7,6.8,52.05,11.5,209.0,1005.5
Everest ABC Camp,13:00:00,0.1,-1.5,75.59,5.0,201.1,1019.0
Everest ABC Camp,14:00:00,1.3,-0.3,73.04,5.4,201.2,1018.0
Everest ABC Camp,15:00:00,12.7,12.7,33.17,10.8,155.0,1000.0
Everest ABC Camp,16:00:00,1.2,1.2,73.02,4.3,220.4,1016.0
Everest ABC Camp,17:00:00,1.1,1.1,74.1,4.7,214.7,1017.0
Everest ABC Camp,18:00:00,12.2,12.2,40.62,8.3,271.0,1001.5
Everest ABC Camp,19:00:00,1.3,1.3,75.8,4.3,191.1,1019.0
Everest ABC Camp,20:00:00,0.5,0.5,77.37,3.6,201.6,1021.0
Everest ABC Camp,21:00:00,8.7,8.2,58.02,5.0,291.0,1005.1
Everest ABC Camp,22:00:00,-1.9,-1.9,84.91,2.2,184.6,1024.0
Everest ABC Camp,23:00:00,-2.5,-2.5,84.84,2.2,185.7,1025.0
Everest ABC Camp,00:00:00,6.6,4.9,59.19,8.3,294.0,1005.3
Everest ABC Camp,01:00:00,-2.9,-2.9,84.79,0.4,349.5,1025.0
Everest ABC Camp,02:00:00,-3.6,-3.6,86.01,0.4,327.6,1024.0
Everest ABC Camp,03:00:00,5.1,5.1,68.1,4.3,307.0,1002.6
Everest ABC Camp,04:00:00,-4.0,-4.0,89.3,0.4,16.0,1022.0
Everest ABC Camp,05:00:00,-3.8,-3.8,87.97,1.1,5.7,1023.0
Everest ABC Camp,06:00:00,3.7,3.7,76.21,3.2,175.0,1005.1
Everest ABC Camp,07:00:00,-3.2,-3.2,79.14,0.4,79.8,1023.0
Everest ABC Camp,08:00:00,-0.6,-0.6,62.4,3.2,200.8,1022.0
Everest ABC Camp,09:00:00,10.1,10.1,41.81,6.1,141.0,1004.2
Everest ABC Camp,10:00:00,-0.2,-0.2,68.48,4.7,219.3,1022.0
Everest ABC Camp,11:00:00,1.8,1.8,65.4,4.3,218.3,1021.0
Everest ABC Camp,12:00:00,13.7,13.7,32.25,7.9,176.0,999.9
Everest ABC Camp,13:00:00,1.8,0.0,70.47,6.1,213.7,1019.0
Everest ABC Camp,14:00:00,3.1,1.6,68.17,5.8,221.2,1018.0
Everest ABC Camp,15:00:00,17.6,17.6,20.83,7.9,206.0,994.2
Everest ABC Camp,16:00:00,2.6,1.0,74.37,5.8,219.1,1016.0
Everest ABC Camp,17:00:00,2.8,1.2,74.41,5.8,224.9,1017.0
Everest ABC Camp,18:00:00,16.2,16.2,30.22,16.2,178.0,995.2
Everest ABC Camp,19:00:00,2.5,1.0,82.96,5.4,219.7,1019.0
Everest ABC Camp,20:00:00,2.1,0.7,85.36,5.0,213.5,1020.0
Everest ABC Camp,21:00:00,11.6,11.6,44.46,6.8,249.0,997.7
Everest ABC Camp,22:00:00,0.2,-1.4,88.99,5.0,214.6,1022.0
Everest ABC Camp,23:00:00,-0.4,-2.1,91.6,5.0,212.4,1022.0
Everest Summit,00:00:00,7.1,6.0,57.2,6.5,104.0,1003.8
Everest Summit,01:00:00,-2.4,-2.4,84.21,1.4,285.0,1020.0
Everest Summit,02:00:00,-3.1,-3.1,87.37,1.8,306.0,1020.0
Everest Summit,03:00:00,4.2,1.6,80.82,10.1,160.0,1003.1
Everest Summit,04:00:00,-3.0,-3.0,92.8,1.4,254.3,1019.0
Everest Summit,05:00:00,-3.3,-3.3,92.79,1.4,285.8,1020.0
Everest Summit,06:00:00,2.1,-0.9,86.61,10.1,302.0,1007.4
Everest Summit,07:00:00,-3.2,-3.2,90.72,1.4,340.4,1021.0
Everest Summit,08:00:00,-0.9,-0.9,68.33,0.7,41.7,1021.0
Everest Summit,09:00:00,4.7,2.8,72.61,7.9,294.0,1010.3
Everest Summit,10:00:00,-0.6,-0.6,69.45,3.6,141.0,1020.0
Everest Summit,11:00:00,0.8,0.8,67.17,4.3,157.3,1020.0
Everest Summit,12:00:00,8.7,6.8,52.05,11.5,209.0,1005.5
Everest Summit,13:00:00,-0.1,-1.8,80.21,5.0,162.6,1019.0
Everest Summit,14:00:00,0.8,-0.9,78.0,5.4,168.4,1018.0
Everest Summit,15:00:00,12.7,12.7,33.17,10.8,155.0,1000.0
Everest Summit,16:00:00,0.4,0.4,79.1,2.9,180.2,1016.0
Everest Summit,17:00:00,0.6,0.6,78.54,3.6,181.0,1017.0
Everest Summit,18:00:00,12.2,12.2,40.62,8.3,271.0,1001.5
Everest Summit,19:00:00,1.4,1.4,77.52,4.0,166.4,1018.0
Everest Summit,20:00:00,0.5,0.5,80.89,3.2,173.6,1020.0
Everest Summit,21:00:00,8.7,8.2,58.02,5.0,291.0,1005.1
Everest Summit,22:00:00,-1.3,-1.3,85.61,2.5,202.9,1023.0
Everest Summit,23:00:00,-2.0,-2.0,86.83,2.5,208.3,1024.0
Everest Summit,00:00:00,6.6,4.9,59.19,8.3,294.0,1005.3
Everest Summit,01:00:00,-2.5,-2.5,85.48,1.8,253.6,1024.0
Everest Summit,02:00:00,-3.4,-3.4,86.68,1.8,278.6,1023.0
Everest Summit,03:00:00,5.1,5.1,68.1,4.3,307.0,1002.6
Everest Summit,04:00:00,-4.6,-4.6,92.01,1.8,293.6,1021.0
Everest Summit,05:00:00,-4.2,-4.2,90.65,2.5,308.0,1022.0
Everest Summit,06:00:00,3.7,3.7,76.21,3.2,175.0,1005.1
Everest Summit,07:00:00,-3.2,-3.2,82.84,1.4,297.8,1022.0
Everest Summit,08:00:00,-0.9,-0.9,68.33,1.4,212.9,1022.0
Everest Summit,09:00:00,10.1,10.1,41.81,6.1,141.0,1004.2
Everest Summit,10:00:00,-0.3,-0.3,71.64,3.2,184.3,1022.0
Everest Summit,11:00:00,1.7,1.7,68.38,3.2,179.6,1021.0
Everest Summit,12:00:00,13.7,13.7,32.25,7.9,176.0,999.9
Everest Summit,13:00:00,1.8,0.4,74.22,5.0,184.9,1020.0
Everest Summit,14:00:00,3.2,3.2,71.8,4.3,183.0,1018.0
Everest Summit,15:00:00,17.6,17.6,20.83,7.9,206.0,994.2
Everest Summit,16:00:00,2.2,0.7,80.54,5.4,182.5,1016.0
Everest Summit,17:00:00,2.4,1.1,80.57,5.0,187.4,1016.0
Everest Summit,18:00:00,16.2,16.2,30.22,16.2,178.0,995.2
Everest Summit,19:00:00,2.9,2.9,83.01,4.7,189.2,1018.0
Everest Summit,20:00:00,2.4,2.4,87.27,4.3,181.7,1019.0
Everest Summit,21:00:00,11.6,11.6,44.46,6.8,249.0,997.7
Everest Summit,22:00:00,0.5,0.5,92.33,4.3,184.4,1021.0
Everest Summit,23:00:00,-0.1,-0.1,92.97,4.3,186.7,1022.0
